time,x,y,z
19900,0.04,0.01,-0.89
20000,0.04,0.01,-0.88
20100,0.04,0.01,-0.87
20200,0.04,0.0,-0.87
20300,0.04,0.0,-0.86
20400,0.05,0.0,-0.89
20500,0.03,0.01,-0.9
20600,0.04,0.01,-0.87
20700,0.02,0.02,-0.86
20800,0.04,0.03,-0.88
20900,0.04,0.01,-0.86
21000,0.06,-0.0,-0.89
21100,0.03,0.0,-0.86
21200,0.04,0.0,-0.83
21300,0.03,0.0,-0.88
21400,0.04,0.0,-0.87
21500,0.03,0.01,-0.87
21600,0.04,0.01,-0.86
21700,0.04,0.0,-0.86
21800,0.04,0.01,-0.86
21900,0.02,0.01,-0.95
22000,0.04,-0.01,-0.89
22100,0.04,0.0,-0.87
22200,0.03,0.01,-0.86
22300,0.04,0.04,-0.9
22400,0.02,0.04,-0.88
22500,0.03,0.05,-0.86
22600,0.04,0.0,-0.88
22700,0.05,0.01,-0.86
22800,0.03,-0.0,-0.85
22900,0.05,0.0,-0.86
23000,0.03,0.01,-0.86
23100,0.03,0.0,-0.87
23200,0.04,0.0,-0.87
23300,0.04,0.01,-0.88
23400,0.04,-0.01,-0.8
23500,0.05,0.0,-0.86
23600,0.04,0.0,-0.89
23700,0.03,0.01,-0.86
23800,0.03,0.01,-0.88
23900,0.03,0.0,-0.84
24000,0.03,-0.02,-0.84
24100,0.02,0.01,-0.88
24200,-0.0,0.05,-0.87
24300,0.0,0.1,-0.86
24400,0.07,-0.0,-0.92
24500,0.06,-0.03,-0.88
24600,0.05,-0.02,-0.84
24700,0.03,0.01,-0.86
24800,0.05,0.0,-0.87
24900,0.02,0.0,-0.86
25000,0.04,0.0,-0.86
25100,0.03,0.0,-0.84
25200,0.03,0.03,-0.9
25300,0.04,0.0,-0.87
25400,0.03,0.0,-0.86
25500,0.04,0.01,-0.87
25600,0.03,0.01,-0.87
25700,0.04,0.0,-0.87
25800,0.04,0.0,-0.86
25900,0.02,0.01,-0.88
26000,0.03,0.01,-0.87
26100,0.03,-0.0,-0.86
26200,0.04,-0.0,-0.86
26300,0.05,-0.0,-0.88
26400,0.01,0.07,-0.87
26500,0.01,0.04,-0.87
26600,0.08,0.02,-0.86
26700,0.04,0.02,-0.86
26800,0.02,0.01,-0.88
26900,0.04,0.01,-0.86
27000,0.03,0.0,-0.87
27100,0.04,0.0,-0.86
27200,0.04,0.0,-0.87
27300,0.04,0.01,-0.86
27400,0.03,0.0,-0.84
27500,0.02,0.02,-0.86
27600,0.03,0.0,-0.87
27700,0.02,0.01,-0.86
27800,0.04,0.01,-0.87
27900,0.04,0.0,-0.87
28000,0.04,0.01,-0.86
28100,0.04,0.01,-0.88
28200,0.04,0.01,-0.85
28300,0.03,0.02,-0.86
28400,0.04,0.0,-0.87
28500,0.04,0.01,-0.87
28600,0.04,0.01,-0.86
28700,0.03,0.01,-0.86
28800,0.04,0.0,-0.87
28900,0.03,0.01,-0.88
29000,0.04,0.0,-0.86
29100,0.04,0.01,-0.87
29200,0.04,0.0,-0.87
29300,0.04,0.0,-0.87
29400,0.04,0.01,-0.86
29500,0.04,0.01,-0.81
29600,0.05,0.0,-0.86
29700,0.04,0.01,-0.85
29800,0.03,0.01,-0.86
29900,0.03,0.01,-0.88
30000,0.04,0.0,-0.86
30100,0.04,0.01,-0.87
30200,0.02,0.04,-0.87
30300,0.02,0.02,-0.9
30400,0.02,0.0,-0.87
30500,0.02,0.01,-0.86
30600,0.04,0.02,-0.86
30700,0.04,0.01,-0.88
30800,0.04,0.0,-0.88
30900,0.04,0.0,-0.87
31000,0.04,0.0,-0.86
31100,0.04,0.01,-0.86
31200,0.04,0.01,-0.87
31300,0.03,-0.0,-0.88
31400,0.04,0.0,-0.88
31500,0.05,0.02,-0.9
31600,0.04,0.01,-0.87
31700,0.04,0.01,-0.84
31800,0.03,0.03,-0.88
31900,0.03,0.0,-0.87
32000,0.04,0.01,-0.88
32100,0.04,0.0,-0.88
32200,0.04,0.0,-0.87
32300,0.05,0.01,-0.92
32400,0.04,0.01,-0.86
32500,0.04,0.0,-0.86
32600,0.04,0.0,-0.87
32700,0.04,0.0,-0.88
32800,0.03,0.01,-0.86
32900,0.04,0.01,-0.88
33000,0.04,0.01,-0.87
33100,0.03,0.01,-0.86
33200,0.06,0.01,-0.9
33300,0.04,0.01,-0.83
33400,0.01,0.0,-0.88
33500,0.04,0.01,-0.88
33600,0.02,0.01,-0.89
33700,0.04,0.0,-0.88
33800,0.04,0.0,-0.87
33900,0.03,0.01,-0.87
34000,0.03,0.01,-0.87
34100,0.04,0.0,-0.87
34200,0.04,0.0,-0.85
34300,0.01,0.02,-0.83
34400,0.03,0.01,-0.88
34500,0.04,0.0,-0.88
34600,0.03,0.0,-0.86
34700,0.04,0.0,-0.88
34800,0.04,0.01,-0.86
34900,0.04,0.0,-0.88
35000,0.04,0.0,-0.87
35100,0.03,0.0,-0.87
